#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 12 27 11 00  70  2.0  4.0   0.7     5    MM  MM 1012.5  -5.4   5.2    MM   MM +2.2    MM
2021 12 27 10 00  80  4.0  7.0   0.6     4    MM  MM 1011.4  -5.2   5.1    MM   MM +1.6    MM
2021 12 27 09 00  60  3.0  5.0   0.5     3    MM  MM 1011.1  -5.2   5.1    MM   MM +2.0    MM
2021 12 27 08 00   0  4.0  6.0   0.6     3    MM  MM 1010.3  -4.7   5.1    MM   MM +2.4    MM
2021 12 27 07 00 350  4.0  6.0   0.6     4    MM  MM 1009.8  -4.4   5.1    MM   MM +2.5    MM
2021 12 27 06 00 360  5.0  7.0   0.6     3    MM  MM 1009.1  -4.5   5.0    MM   MM +2.4    MM
2021 12 27 05 00 130  1.0  2.0    MM     4    MM  MM 1007.9  -4.5   4.9    MM   MM +2.3    MM
2021 12 27 04 00 160  1.0  2.0    MM     4    MM  MM 1007.3  -5.0   4.8    MM   MM +2.5    MM
2021 12 27 03 00  30  3.0  5.0    MM     4    MM  MM 1006.7  -5.5   4.7    MM   MM +3.1    MM
2021 12 27 02 00  40  3.0  5.0   0.7     3    MM  MM 1005.6  -4.4   5.1    MM   MM   MM    MM
2021 12 27 01 00  70  4.0  6.0   0.7     4    MM  MM 1004.8  -4.4   5.1    MM   MM   MM    MM
2021 12 27 00 00  90  5.0  7.0   0.7     4    MM  MM 1003.6  -4.3   5.1    MM   MM   MM    MM
2021 12 26 21 00 180  8.0 11.0   1.1     5    MM  MM 1000.5  -4.2   4.8    MM   MM +0.7    MM
2021 12 26 20 00 150  5.0  9.0   1.1     5    MM  MM 1000.4  -4.7   4.9    MM   MM +1.0    MM
2021 12 26 19 00 130  4.0  6.0   1.1     5    MM  MM 1000.1  -4.5   5.0    MM   MM +1.4    MM
2021 12 26 18 00 110  6.0  8.0   1.2     5    MM  MM  999.8  -4.6   5.0    MM   MM +1.5    MM
2021 12 26 17 00 120  5.0  9.0   1.1     5    MM  MM  999.4  -4.2   5.2    MM   MM +1.3    MM
2021 12 26 16 00 110  6.0 10.0    MM     5    MM  MM  998.7  -4.2   5.3    MM   MM +1.0    MM
2021 12 26 15 00 120  7.0  9.0   1.0     5    MM  MM  998.3  -4.0   5.3    MM   MM +0.9    MM
2021 12 26 14 00 100  5.0  7.0   1.0     5    MM  MM  998.1  -3.8   5.7    MM   MM +0.9    MM
2021 12 26 13 00  90  6.0  8.0   1.0     5    MM  MM  997.7  -3.8   6.0    MM   MM +1.1    MM
2021 12 26 12 00  90  5.0  7.0   0.9     5    MM  MM  997.4  -3.3   6.1    MM   MM +2.1    MM
2021 12 26 11 00  90  6.0  8.0   0.9     5    MM  MM  997.2  -3.1   6.1    MM   MM +1.2    MM
